2025-01-30 08:33:20 ~ DFA | com.co.ke.main.EntryPoint | 198 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"SEND_OTP failed","error_data":"Unauthenticated User"}


2025-01-30 08:37:04 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-30 08:37:04 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-30 08:38:47 ~ DFA | com.co.ke.main.EntryPoint | 198 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"SEND_OTP failed","error_data":"Unauthenticated User"}


2025-01-30 08:45:44 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-30 08:45:44 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-30 08:50:15 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-30 08:50:15 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-30 08:51:39 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-30 08:51:39 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-30 09:45:36 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-30 09:45:36 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


